Year,ID,LaborStatus,MaritalStatus,NumChildren,Age,HighestSchoolCompleted,Sex,Race,ChildhoodFamilyIncome,TotalFamilyIncome,RespondentIncome,PoliticalParty,OpinionOfIncome,SexualOrientation
2014,207,Working fulltime,Separated,3,34.000000,11,Female,Other,Average,$25000 or more,$25000 or more,"Ind,near dem",Below average,Heterosexual or straight
2014,208,"Unempl, laid off",Never married,3,22.000000,11,Female,White,Above average,$5000 to 5999,Not applicable,Independent,Below average,Heterosexual or straight
2014,209,Working fulltime,Married,2,35.000000,6,Male,White,Average,$25000 or more,$25000 or more,Not str democrat,Far above average,Not applicable
2014,210,Keeping house,Married,3,41.000000,6,Female,White,Far below average,$20000 - 24999,Not applicable,"Ind,near dem",Average,Not applicable
2014,211,Working parttime,Married,3,53.000000,3,Female,White,Far below average,$20000 - 24999,$8000 to 9999,Independent,Average,Not applicable
2014,212,Keeping house,Married,4,54.000000,6,Female,White,Far below average,$15000 - 19999,Not applicable,Not str republican,Far below average,Not applicable
2014,213,Keeping house,Never married,0,50.000000,20,Female,Other,Average,Refused,Refused,No answer,Below average,Not applicable
2014,214,Working parttime,Married,3,38.000000,13,Female,White,Average,$25000 or more,$7000 to 7999,Not str republican,Average,Heterosexual or straight
2014,215,Working fulltime,Married,4,35.000000,11,Female,White,Above average,$25000 or more,$20000 - 24999,Strong democrat,Far below average,Heterosexual or straight
2014,216,School,Never married,0,19.000000,12,Male,Black,Average,$10000 - 14999,Not applicable,Independent,Average,Heterosexual or straight
2014,217,Other,Married,4,56.000000,9,Male,Other,Far below average,Don't know,Not applicable,"Ind,near dem",Far below average,Not applicable
2014,218,Working fulltime,Married,2,46.000000,16,Male,Other,Far below average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,219,Retired,Married,2,68.000000,2,Female,White,Far below average,$25000 or more,Not applicable,Strong democrat,Average,Not applicable
2014,220,Working fulltime,Separated,0,41.000000,14,Female,White,Above average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,221,Working parttime,Married,2,29.000000,12,Male,White,Average,Refused,Refused,Independent,Average,Heterosexual or straight
2014,222,Working parttime,Married,0,61.000000,14,Female,Other,Average,$20000 - 24999,$10000 - 14999,Not str republican,Below average,Heterosexual or straight
2014,223,Working fulltime,Married,0,56.000000,16,Male,White,Average,$25000 or more,$15000 - 19999,"Ind,near rep",Below average,Heterosexual or straight
2014,224,Keeping house,Divorced,2,33.000000,12,Female,White,Average,$20000 - 24999,Not applicable,Not str republican,Far below average,Heterosexual or straight
2014,225,Working fulltime,Never married,0,24.000000,16,Female,Other,Above average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,226,Working fulltime,Married,0,69.000000,14,Male,White,Below average,$25000 or more,$20000 - 24999,Strong democrat,Above average,"Gay, lesbian, or homosexual"
2014,227,Working parttime,Married,2,61.000000,17,Male,White,Far above average,$25000 or more,$25000 or more,Strong democrat,Far above average,Heterosexual or straight
2014,228,Retired,Widowed,0,78.000000,13,Female,Black,Average,$8000 to 9999,Not applicable,"Ind,near dem",Far below average,Heterosexual or straight
2014,229,Working parttime,Widowed,1,43.000000,12,Male,White,Average,$10000 - 14999,$10000 - 14999,Independent,Average,Heterosexual or straight
2014,230,"Unempl, laid off",Divorced,2,52.000000,11,Male,White,Far below average,$3000 to 3999,Not applicable,Not str republican,Far below average,Heterosexual or straight
2014,231,"Unempl, laid off",Never married,0,59.000000,12,Male,White,Average,$1000 to 2999,Not applicable,Not str democrat,Far below average,Heterosexual or straight
2014,232,Working parttime,Divorced,0,69.000000,20,Male,White,Far above average,$25000 or more,$25000 or more,Strong democrat,Far below average,"Gay, lesbian, or homosexual"
2014,233,Working parttime,Married,1,37.000000,14,Male,White,Above average,$25000 or more,Not applicable,Strong democrat,Above average,Heterosexual or straight
2014,234,Working fulltime,Married,1,41.000000,16,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,235,Keeping house,Divorced,2,59.000000,16,Female,White,Below average,$1000 to 2999,Not applicable,"Ind,near dem",Average,Heterosexual or straight
2014,236,School,Never married,0,23.000000,15,Female,White,Average,$15000 - 19999,$15000 - 19999,Other party,Average,Heterosexual or straight
2014,237,School,Never married,0,19.000000,12,Male,Other,Average,$25000 or more,Not applicable,"Ind,near dem",Average,Heterosexual or straight
2014,238,Working fulltime,Never married,0,30.000000,16,Female,White,Above average,$25000 or more,$15000 - 19999,"Ind,near dem",Below average,Heterosexual or straight
2014,239,Keeping house,Married,6,75.000000,10,Female,White,Average,Refused,Not applicable,"Ind,near rep",Don't know,Heterosexual or straight
2014,240,Working fulltime,Never married,2,46.000000,5,Female,White,Far below average,Don't know,Refused,Not str democrat,Far below average,Heterosexual or straight
2014,241,Working fulltime,Never married,0,19.000000,12,Male,White,Average,$25000 or more,Not applicable,Independent,Above average,Heterosexual or straight
2014,242,Working fulltime,Never married,1,51.000000,18,Female,Other,Below average,$25000 or more,$25000 or more,Not str democrat,Below average,Heterosexual or straight
2014,243,Working fulltime,Married,2,61.000000,19,Female,White,Average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,244,Working fulltime,Married,3,45.000000,13,Female,White,Far below average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,245,Working fulltime,Married,3,58.000000,2,Male,Other,Below average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,246,Retired,Married,NA,79.000000,7,Female,White,Average,Don't know,Not applicable,Not str democrat,Below average,Not applicable
2014,247,Retired,Married,4,75.000000,16,Female,Other,Far below average,$20000 - 24999,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,248,Retired,Widowed,4,89 or older,12,Male,White,Above average,$15000 - 19999,Not applicable,Strong republican,Average,Not applicable
2014,249,Temp not working,Never married,2,41.000000,12,Female,Other,Below average,$20000 - 24999,$20000 - 24999,Independent,Below average,Heterosexual or straight
2014,250,Working fulltime,Married,0,32.000000,16,Male,Other,Far below average,Refused,Refused,"Ind,near rep",Below average,No answer
2014,251,Working fulltime,Married,2,58.000000,16,Female,Other,Above average,$25000 or more,$25000 or more,Strong republican,Above average,Heterosexual or straight
2014,252,Working fulltime,Married,3,72.000000,16,Male,White,Average,$25000 or more,$25000 or more,"Ind,near rep",Average,Heterosexual or straight
2014,253,Retired,Divorced,2,66.000000,14,Female,White,Above average,$25000 or more,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,254,School,Never married,0,21.000000,14,Female,Black,Below average,$10000 - 14999,Not applicable,"Ind,near dem",Below average,Heterosexual or straight
2014,255,Working fulltime,Divorced,1,45.000000,12,Female,White,Average,$25000 or more,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,256,Working fulltime,Married,0,58.000000,13,Male,White,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,257,Temp not working,Married,2,50.000000,12,Female,White,Average,$25000 or more,$1000 to 2999,"Ind,near rep",Average,Heterosexual or straight
2014,258,Retired,Divorced,1,55.000000,20,Female,White,Average,Lt $1000,Not applicable,Strong democrat,Average,Heterosexual or straight
2014,259,Working fulltime,Divorced,1,43.000000,14,Male,White,Average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,260,Keeping house,Married,1,31.000000,13,Female,White,Above average,$25000 or more,Not applicable,Independent,Below average,Heterosexual or straight
2014,261,"Unempl, laid off",Never married,1,30.000000,13,Female,White,Average,$25000 or more,Not applicable,Strong democrat,Average,Heterosexual or straight
2014,262,"Unempl, laid off",Never married,6,42.000000,11,Female,Black,Average,$10000 - 14999,Not applicable,"Ind,near dem",Average,Heterosexual or straight
2014,263,Working fulltime,Married,4,25.000000,10,Female,Other,Average,$20000 - 24999,$10000 - 14999,Independent,Average,Heterosexual or straight
2014,264,Other,Divorced,1,59.000000,11,Female,White,Below average,Don't know,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,265,Retired,Widowed,4,80.000000,11,Female,White,Average,$25000 or more,Not applicable,Not str republican,Average,Heterosexual or straight
2014,266,Other,Divorced,0,58.000000,12,Female,White,Above average,$15000 - 19999,Not applicable,Independent,Average,Heterosexual or straight
2014,267,Keeping house,Married,6,40.000000,13,Female,White,Average,$3000 to 3999,Not applicable,Independent,Below average,Heterosexual or straight
2014,268,Retired,Separated,1,78.000000,18,Male,White,Below average,$25000 or more,Not applicable,No answer,Below average,Not applicable
2014,269,Keeping house,Widowed,2,78.000000,12,Female,White,Average,$5000 to 5999,Not applicable,Not str democrat,Above average,Not applicable
2014,270,Working fulltime,Married,3,46.000000,18,Female,White,Average,$25000 or more,$25000 or more,Strong republican,Average,Heterosexual or straight
2014,271,Working fulltime,Married,2,43.000000,18,Male,White,Average,$25000 or more,$25000 or more,"Ind,near rep",Below average,Heterosexual or straight
2014,272,Retired,Married,3,81.000000,16,Male,White,Average,$25000 or more,Not applicable,Strong republican,Average,Heterosexual or straight
2014,273,Retired,Married,3,63.000000,16,Female,Black,Average,Refused,Not applicable,No answer,Average,Not applicable
2014,274,Working fulltime,Divorced,2,48.000000,12,Male,Black,Below average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,275,Working fulltime,Never married,2,48.000000,12,Female,Other,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,276,"Unempl, laid off",Married,3,57.000000,13,Male,Black,Above average,$25000 or more,Not applicable,Strong democrat,Below average,Heterosexual or straight
2014,277,Working parttime,Never married,1,29.000000,14,Female,White,Above average,$15000 - 19999,$15000 - 19999,Strong democrat,Average,Heterosexual or straight
2014,278,"Unempl, laid off",Separated,1,30.000000,14,Female,White,Average,Don't know,Not applicable,"Ind,near dem",Far below average,Bisexual
2014,279,"Unempl, laid off",Never married,0,29.000000,16,Female,Black,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,280,Working fulltime,Divorced,5,50.000000,14,Female,Black,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,281,Keeping house,Divorced,2,61.000000,10,Female,White,Above average,Refused,Not applicable,Independent,Far below average,Not applicable
2014,282,Working fulltime,Married,0,30.000000,13,Male,White,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,283,Working fulltime,Married,2,32.000000,19,Male,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,284,School,Never married,0,18.000000,11,Female,White,Average,Lt $1000,Not applicable,Other party,Average,Heterosexual or straight
2014,285,Retired,Divorced,4,85.000000,19,Female,White,Average,$25000 or more,Not applicable,Strong democrat,Average,Not applicable
2014,286,Retired,Divorced,0,51.000000,12,Male,White,Average,$8000 to 9999,Not applicable,Independent,Average,Heterosexual or straight
2014,287,Working fulltime,Separated,2,26.000000,12,Female,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Average,Bisexual
2014,288,Working fulltime,Married,1,38.000000,20,Male,White,Average,$25000 or more,$25000 or more,Other party,Above average,Heterosexual or straight
2014,289,Working fulltime,Married,3,39.000000,10,Female,Other,Average,$25000 or more,$20000 - 24999,Independent,Average,Heterosexual or straight
2014,290,Working parttime,Never married,0,20.000000,14,Male,White,Average,$25000 or more,$15000 - 19999,"Ind,near dem",Average,Heterosexual or straight
2014,291,Working parttime,Married,3,39.000000,15,Female,White,Above average,$25000 or more,$1000 to 2999,Not str republican,Average,Heterosexual or straight
2014,292,Working parttime,Married,2,57.000000,12,Female,White,Average,$25000 or more,$4000 to 4999,Strong democrat,Average,Heterosexual or straight
2014,293,Retired,Widowed,2,87.000000,12,Female,White,Average,Don't know,Not applicable,Strong republican,Below average,Not applicable
2014,294,Retired,Married,5,81.000000,10,Female,White,Average,$25000 or more,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,295,Working fulltime,Never married,1,31.000000,10,Male,White,Average,$25000 or more,$25000 or more,"Ind,near rep",Average,Heterosexual or straight
2014,296,Working parttime,Married,3,61.000000,16,Female,White,Above average,$25000 or more,$25000 or more,Strong republican,Average,Heterosexual or straight
2014,297,Working fulltime,Married,1,31.000000,15,Female,White,Below average,$25000 or more,$20000 - 24999,Independent,Below average,Heterosexual or straight
